SampleID,REGION,Age,MODELDIS,0610006I08RIK Expression,Pathology
812,HIP,4,HO_TASTPM,11.4536,1
451,HIP,8,HO_TASTPM,11.5128,3
452,HIP,8,HO_TASTPM,11.4086,3
453,HIP,8,HO_TASTPM,11.7061,3
454,HIP,8,HO_TASTPM,11.5285,4
97,HIP,18,HO_TASTPM,11.2856,5
113,HIP,18,HO_TASTPM,11.5251,5
154,HIP,18,HO_TASTPM,11.3501,5
2424,HIP,2,TAS10,11.5049,0
2425,HIP,2,TAS10,11.4824,0
2439,HIP,2,TAS10,11.4337,0
2440,HIP,2,TAS10,11.4909,0
2391,HIP,4,TAS10,11.504,0
2431,HIP,4,TAS10,11.5705,0
2415,HIP,8,TAS10,11.5943,0
2442,HIP,8,TAS10,11.427,0
2443,HIP,8,TAS10,11.2181,0
2099,HIP,18,TAS10,11.6042,0
2125,HIP,18,TAS10,11.5614,2
2154,HIP,18,TAS10,11.5915,2
2187,HIP,18,TAS10,11.2845,2
1809,HIP,2,TAU,11.4424,0
1811,HIP,2,TAU,11.4258,0
1825,HIP,2,TAU,11.6424,0
1826,HIP,2,TAU,11.6421,0
1816,HIP,4,TAU,11.2766,0
1817,HIP,4,TAU,11.4224,0
1818,HIP,4,TAU,11.5518,1
1819,HIP,4,TAU,11.3366,0
1461,HIP,8,TAU,11.3958,2
1463,HIP,8,TAU,11.2734,3
1474,HIP,8,TAU,11.4557,1
1494,HIP,8,TAU,11.3759,1
1149,HIP,18,TAU,11.5723,5
1150,HIP,18,TAU,11.4449,4
1160,HIP,18,TAU,12.182,4
2357,HIP,2,TPM,11.6133,0
2359,HIP,2,TPM,11.6906,0
2374,HIP,2,TPM,11.7523,0
2375,HIP,2,TPM,11.5558,0
2319,HIP,4,TPM,11.5437,0
2331,HIP,4,TPM,12.1534,0
2339,HIP,4,TPM,11.501,0
2350,HIP,4,TPM,11.4776,0
2335,HIP,8,TPM,11.4314,0
2336,HIP,8,TPM,11.4389,0
2343,HIP,8,TPM,11.5088,0
2344,HIP,8,TPM,11.3238,0
2297,HIP,18,TPM,11.4391,0
2306,HIP,18,TPM,11.4821,0
2314,HIP,18,TPM,11.4771,0
1804,HIP,2,WILD,11.6823,NA
1808,HIP,2,WILD,11.6582,NA
1810,HIP,2,WILD,11.8343,NA
1824,HIP,2,WILD,11.5575,NA
2358,HIP,2,WILD,11.4765,NA
2360,HIP,2,WILD,11.4873,NA
2376,HIP,2,WILD,11.4158,NA
2398,HIP,2,WILD,11.4791,NA
2399,HIP,2,WILD,11.56,NA
2423,HIP,2,WILD,11.4857,NA
2438,HIP,2,WILD,11.6016,NA
1838,HIP,4,WILD,11.5727,NA
1839,HIP,4,WILD,11.5716,NA
2320,HIP,4,WILD,11.5815,NA
2330,HIP,4,WILD,11.4905,NA
2338,HIP,4,WILD,11.4575,NA
2351,HIP,4,WILD,11.5076,NA
2392,HIP,4,WILD,11.6003,NA
2393,HIP,4,WILD,11.7139,NA
2393,HIP,4,WILD,11.7139,NA
2393,HIP,4,WILD,11.7135,NA
2393,HIP,4,WILD,11.7135,NA
2434,HIP,4,WILD,11.5618,NA
1462,HIP,8,WILD,11.0488,NA
1472,HIP,8,WILD,11.4111,NA
1473,HIP,8,WILD,11.3096,NA
1475,HIP,8,WILD,11.1354,NA
2337,HIP,8,WILD,11.3903,NA
2341,HIP,8,WILD,11.511,NA
2342,HIP,8,WILD,11.2651,NA
2416,HIP,8,WILD,11.364,NA
2417,HIP,8,WILD,11.5633,NA
2418,HIP,8,WILD,11.5061,NA
1145,HIP,18,WILD,11.5179,NA
1151,HIP,18,WILD,11.361,NA
1161,HIP,18,WILD,11.4955,NA
2098,HIP,18,WILD,11.3997,NA
2152,HIP,18,WILD,11.4989,NA
2153,HIP,18,WILD,11.4271,NA
2155,HIP,18,WILD,11.4582,NA
